;t0;t0;t0;;t1;t1;t1;;t4;t4;t4;;t5;t5;t5;;t6;t6;t6;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;
g4184;0.11;-0.6;0.49;0.25;0.4;0.12;0.29;0.09;g4184;-0.1;0.14;0.14;0.34;0.13;0.48;0.18;-0.82;g4184;-0.48;-0.61;0.34;0.51;0.39;-0.09;-0.38;0.06
g4236;0.52;0.11;0.02;-0.26;-0.08;-0.14;0.17;0.04;g4236;0.28;-0.17;0.11;0.08;0.1;0.11;0.23;-0.33;g4236;-0.47;-0.28;0.12;0.35;0.3;0.08;-0.04;-0.08
g4263;0.14;0;0.1;0.03;0.12;0.24;0.15;-0.21;g4263;-0.1;-0.48;-0.04;0.22;0.19;-0.2;-0.12;0.27;g4263;0.41;0.36;-0.32;-0.31;-0.26;0;0.35;0.21
g4274;0.33;-0.02;0.26;0.36;0.31;-0.4;-0.25;-0.64;g4274;0.35;-0.24;-0.51;-0.54;-0.19;0.4;0.24;0;g4274;1.58;-0.21;-0.43;-0.53;-0.38;0.25;0.5;0.25
g4333;0.22;0.44;0.18;-0.26;0.09;-0.22;0.12;-0.06;g4333;0.18;0.4;-0.02;0.15;-0.28;-0.18;-0.14;-0.02;g4333;0.36;-0.28;0.26;-0.02;0.31;-0.08;-0.32;-0.1
g4360;0;0;0;0;0;0;0;0;g4360;-0.04;0.53;-0.33;-0.14;0.01;0;-0.32;0.09;g4360;0;0;0;0;0;0;0;0
g4391;0.16;0.03;0.14;0.31;0.66;-0.58;-0.37;-0.37;g4391;-0.32;0.29;0.12;-0.2;-0.13;-0.29;0.09;-0.12;g4391;-1.32;0.24;0.25;-0.03;0.02;-0.27;-0.18;0.05
g4482;0;0;0;0;0;0;0;0;g4482;1.25;0.36;-0.64;-0.64;-0.09;0.22;0.08;0.22;g4482;0;0;0;0;0;0;0;0
g4572;-0.08;-0.07;0.02;0.27;0.21;0.3;0.07;-0.03;g4572;-0.14;0;-0.24;0.14;0.32;-0.01;0.13;0.21;g4572;-0.69;-0.48;0.49;0.38;0.31;-0.29;-0.48;-0.2
g4926;-0.02;-0.39;-0.12;-0.19;0.29;-0.08;-0.02;0;g4926;-0.44;-0.14;0.24;-0.08;0.06;0.25;0.12;0.52;g4926;-0.03;0;-0.13;0.31;-0.15;-0.3;0.31;0.12
g4937;-0.07;0.04;-0.25;0.01;0.13;0.09;0.04;-0.23;g4937;-0.49;-0.47;-0.22;-0.37;-0.17;0.29;0.41;0.6;g4937;0.88;0.11;0.13;-0.15;-0.5;-0.18;0.21;-0.09
g4966;-0.3;0.18;-0.23;0.18;-0.05;0.02;0.09;-0.19;g4966;0.24;-0.48;0.07;-0.2;0.19;0.33;0.3;0.18;g4966;-0.02;-0.09;0.07;-0.11;-0.18;-0.06;-0.15;0.04
g4977;-0.1;-0.1;0.38;0.66;0.3;-0.25;-0.01;-0.25;g4977;0.03;0.17;0.09;-0.18;-0.12;0.19;-0.08;-0.2;g4977;0.29;0;-0.37;0.09;0.15;0.19;0.38;-0.03
g5034;-0.42;-0.02;0.15;0;0.23;0.03;0.31;0.17;g5034;-0.74;-0.64;-0.14;-0.13;-0.08;0.09;0.63;0.51;g5034;-0.19;-0.16;-0.36;-0.29;-0.13;0.43;0.25;0.44
g5124;0.08;0.31;0.05;0;0.17;0;-0.17;-0.11;g5124;-1.1;-0.29;-0.1;-0.1;0.07;0.81;-0.1;0.22;g5124;-0.14;0.02;0.37;0.2;-0.02;-0.08;-0.32;-0.03
g5195;-0.12;0;0.23;-0.22;0.31;-0.08;0.09;-0.48;g5195;0.3;0.02;-0.13;-0.17;-0.08;0.02;-0.08;0;g5195;-0.28;-0.3;0.02;0.08;0.04;0.08;-0.01;0.4
g5225;0.09;-0.16;-0.02;-0.04;-0.27;-0.01;0.01;-0.16;g5225;-0.35;-0.13;-0.16;-0.22;-0.05;-0.29;0;0.12;g5225;-0.9;-0.44;0.74;0.48;0.43;-0.26;-0.34;-0.18
g5234;0.31;0.01;0.08;0.07;0.04;-0.25;-0.14;-0.44;g5234;0.83;-0.45;0.19;-0.07;-0.23;0.39;0.28;0.07;g5234;0.41;-0.37;0.38;0.17;-0.41;-0.13;-0.33;0.04
g5280;0.69;-0.06;0.05;-0.18;0.25;0.13;0.02;0;g5280;1.2;0.4;-0.15;0.2;-0.07;0.48;0.48;-0.15;g5280;0.29;-0.34;0;0.27;0.18;-0.1;-0.04;0.09
g5305;-0.58;-0.54;-0.04;-0.44;0.31;-0.17;0.19;0.23;g5305;-0.49;0.08;0.2;-0.03;0.25;-0.63;0.02;0;g5305;-0.35;-0.39;-0.15;-0.01;-0.04;0.23;0.3;0.06
g5306;0.02;-0.23;0.17;0.02;0.12;-0.06;0.12;-0.34;g5306;-0.27;0.05;0.53;0.58;0.28;-0.12;0.24;-0.09;g5306;0;-0.08;0.21;-0.34;-0.02;0;0.53;-0.13
g5313;0.44;0.2;-0.14;-0.26;-0.04;-0.01;-0.14;-0.49;g5313;0.48;0.14;-0.55;0.06;0.02;-0.18;-0.1;0;g5313;-0.09;-0.18;-0.31;-0.35;-0.03;0.43;0.52;0.24
g5329;-0.15;-0.27;0.19;0.13;0.16;0.03;-0.03;-0.13;g5329;-0.15;-0.16;0.22;0.66;0.35;-0.57;-0.06;-0.22;g5329;-0.42;-0.21;-0.1;-0.35;0.05;0.29;0.29;0.26
g5365;-0.18;-0.02;0.1;0.17;0.15;0.1;0.17;-0.1;g5365;-0.29;-0.43;0.41;0.41;0.28;0.25;-0.04;-0.24;g5365;-0.09;-0.04;-0.27;-0.12;0.2;-0.07;0.03;0
g5371;-0.13;0;-0.11;0.17;0;0.11;0.55;0;g5371;-0.11;-0.36;0.07;0.17;0.12;0.22;0.1;0.07;g5371;0.09;-0.06;0.13;-0.13;-0.04;0.03;-0.19;0
g5445;-0.03;0.03;0;0.28;0.24;0;0.22;0;g5445;0.03;-0.03;-0.05;-0.11;-0.02;0.17;-0.16;0.21;g5445;0.29;-0.96;0.1;-0.02;-0.1;-0.09;-0.41;0.11
g5470;-0.02;-0.18;0.01;0.03;0.19;0.03;0.32;0.07;g5470;-0.78;0.05;0.59;0.06;0.09;0.23;0.16;0.27;g5470;0.23;1.33;-0.23;-0.31;-0.04;0.14;-0.04;-0.31
g5504;0.43;-0.23;0.2;0.23;0.17;-0.05;0.16;-0.2;g5504;-0.2;0.09;-0.16;-0.17;-0.1;-0.02;-0.14;0;g5504;1.07;-0.5;-0.15;0.14;0.06;0.06;-0.35;-0.13
g5534;0.25;-0.16;0.27;0.05;0.39;-0.45;-0.19;-0.28;g5534;-0.1;-0.23;-0.15;0.08;-0.13;-0.14;-0.05;0.4;g5534;-0.12;-0.4;-0.06;0;0.25;0.32;0.02;-0.14
g5563;0.37;-0.21;-0.25;0;0.27;-0.29;0.27;0;g5563;1.13;0.6;0.13;-0.04;0.13;0.05;-0.58;-0.23;g5563;0.56;-0.16;-0.27;0.1;0.61;-0.2;-0.9;-0.18
g5595;0.09;-0.11;0.01;0.18;0.08;-0.11;0.11;-0.23;g5595;0.54;1.09;0.13;-0.18;-0.23;-0.02;-0.47;0.19;g5595;0.11;-0.38;0.19;0.11;0.1;-0.06;-0.2;0.16
g5639;0;0.59;-0.07;0;0.17;0.18;0.09;-0.33;g5639;0.22;0.12;-0.02;-0.56;-0.23;0.33;-0.1;0.09;g5639;0.21;0.34;0.36;0.37;-0.1;-0.53;-0.41;-0.48
g5668;-0.83;-0.46;0.2;0.2;0.4;0.09;0.12;0.2;g5668;-0.41;-0.9;0.49;0.56;0.2;0.19;0.38;0.25;g5668;0.06;-0.51;-0.22;0.31;-0.02;0.2;-0.12;-0.22
g5685;0.08;-0.03;-0.08;0.08;0.11;-0.15;0.04;-0.23;g5685;0.43;0.85;0.12;0.21;0.24;-0.01;-0.45;-0.33;g5685;-0.07;-0.36;0.39;-0.07;0.05;0.02;0.07;0.12
g5725;0.25;0.11;0.22;0.35;0.1;-0.28;-0.23;-0.3;g5725;0;0.06;-0.48;-0.07;-0.22;-0.69;0.28;0.6;g5725;0.79;-0.34;0.22;-0.13;0.04;-0.21;-0.09;-0.19
g5746;-0.14;-0.02;0;-0.3;0.03;-0.26;0.06;-0.21;g5746;0.27;0.02;0.09;0.43;0.29;-1.15;-0.27;-0.18;g5746;0.58;-0.19;0.15;-0.14;0.29;-0.23;-0.5;0.13
g5761;0.12;-0.19;0.33;0.16;0.01;-0.24;-0.1;-0.57;g5761;0.05;0.1;0.06;0.12;0.04;0.15;-0.4;-0.11;g5761;0.11;-0.08;0.16;-0.21;-0.1;-0.18;-0.08;-0.1
g5783;0.09;-1.28;-0.13;0.17;0.31;0.14;0.23;0.42;g5783;-0.51;-0.19;0.4;0.1;0.02;-0.35;-0.11;0.09;g5783;-1.77;0.11;1.36;0.99;0.35;-0.89;-0.96;-0.31
g5795;-0.15;-0.65;0.17;-0.11;0.37;-0.03;0.25;-0.19;g5795;-0.5;-0.64;-0.12;0.16;0.17;-0.35;-0.04;0.21;g5795;0.08;-0.36;-0.1;-0.02;-0.27;0.2;0.35;0.04
g5796;0.01;-0.45;0.28;0.1;0.47;0.1;-0.15;-0.15;g5796;0.06;-0.04;0.21;-0.17;-0.38;0;-0.3;-0.02;g5796;0.18;-0.1;-0.06;0.04;0.07;-0.05;0.17;-0.13
g5867;0.69;-0.03;0.02;0.22;0.12;-0.29;0.08;-0.16;g5867;-0.09;-0.08;0.23;0.14;-0.09;-0.27;-0.2;0;g5867;0.42;0.56;-0.12;-0.4;-0.24;0.08;-0.36;-0.02
g5883;0.64;0.21;-0.02;0.23;0.07;-0.28;-0.13;-0.26;g5883;0.17;0.71;-0.5;0.07;0.15;-0.64;-0.04;0.14;g5883;0.53;0.04;0.38;0.2;0.15;-0.3;-0.41;-0.18
g5916;0.29;-0.79;-0.02;-0.3;0.08;0.25;-0.03;0.17;g5916;-0.44;0.22;0.03;0.15;0.1;-0.04;-0.09;-0.08;g5916;-1.33;-0.09;0.91;0.51;0.55;-0.44;-0.82;-0.26
g5948;0;-0.1;0.14;0.46;0.21;0.14;-0.17;-0.1;g5948;1.01;0.81;-0.22;-0.72;-0.86;0.34;0.14;-0.08;g5948;-0.06;-0.06;0.07;-0.06;-0.12;-0.16;-0.16;0.14
g6021;0.21;-0.62;0.29;-0.03;0;-0.06;0.03;0.04;g6021;-0.15;-0.16;0.09;0.35;0.34;-0.34;-0.12;0.19;g6021;-0.54;0.3;0.38;0.27;0.12;-0.42;-0.49;-0.12
g6038;0.1;0.1;0.14;0.19;0.15;-0.33;0.05;-0.07;g6038;0.31;-1.43;-0.28;-0.32;-0.18;-0.19;0.53;0;g6038;-0.42;0.19;0.33;-0.11;-0.14;0.12;-0.08;-0.12
g6085;0.38;-1.12;-0.28;0.27;0.43;-0.1;0.13;-0.12;g6085;-0.55;0.23;0.18;0.23;0.17;-0.11;-0.35;-0.16;g6085;-0.49;-0.31;0.77;0.55;0.02;-0.58;-0.41;-0.1
g6088;0.23;0.14;0.18;-0.51;0.43;0;0.13;-0.21;g6088;-0.21;-0.14;-0.05;0.19;-0.04;-0.56;0.2;-0.16;g6088;0.25;-0.65;-0.09;-0.09;0.42;0.45;-1.02;-0.12
g6100;-0.19;-0.28;0.1;-0.02;0.35;-0.24;0.03;-0.18;g6100;0.86;0.55;-0.02;-0.09;-0.15;-0.51;-0.35;-0.14;g6100;0.43;0;-0.1;-0.21;-0.53;0.07;0.24;0.61
g6104;0;-0.04;-0.06;-0.15;0.22;-0.33;0.07;-0.19;g6104;0.23;-0.21;0.24;0.23;0.07;-0.22;-0.26;0.12;g6104;0.31;-0.23;0.21;0.15;-0.35;-0.21;-0.16;-0.02
g6120;0.14;0;0.22;-0.25;0.07;-0.1;0.12;-0.18;g6120;-0.16;-0.64;-0.24;0.16;0.12;0.27;-0.04;0.03;g6120;0.44;-0.13;-0.01;-0.05;-0.54;0.24;0.27;-0.05
g6135;-0.1;-0.63;0.04;0.1;0.15;-0.15;-0.03;-0.35;g6135;0.2;-0.2;0.06;0.31;0.18;-0.65;-0.04;0.17;g6135;0.68;-0.04;0.15;-0.11;-0.06;0;-0.15;-0.13
g6138;0.34;0.47;0;0.05;0.25;-0.49;-0.31;-0.55;g6138;-0.28;-0.26;0.01;-0.38;-0.17;0;-0.39;0.12;g6138;-0.11;-0.31;-0.31;-0.07;-0.17;0.23;0.26;0.34
