;t4;t4;t4;;t7;t7;t7;;t8;t8;t8;;t9;t9;t9;;t10;t10;t10;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;
g1323;0.47;-0.03;0.06;-0.43;1.09;-0.54;-0.16;-0.38;g1323;-0.57;0;0;-0.33;0;0.78;-0.7;0;g1323;0.03;0.18;0.33;0.26;0.03;0.36;0.26;0.02
g1324;-0.02;0.07;-0.06;0.28;0.28;-0.07;-0.2;0.08;g1324;0.82;-0.11;0.32;0.09;0.31;-0.03;0.08;0.22;g1324;-0.3;0.44;0.31;0.3;-0.28;0.34;0.07;0.21
g1325;0;-0.29;0.05;-0.03;-0.09;-0.15;0.12;-0.35;g1325;0;0;0;0;0;1.39;0;0;g1325;-0.44;-0.22;0.09;-0.05;0.09;0.31;0.05;-0.01
g1326;0.15;-0.25;-0.09;0.26;0.03;0.12;-0.12;-0.12;g1326;-0.72;0.33;-0.37;-0.21;-0.24;0.45;-0.43;0.31;g1326;-0.33;0.4;0.25;0.01;-0.06;0.1;0.26;0.14
g1327;0;-0.03;-0.07;0.14;-0.21;-0.03;0.07;-0.15;g1327;0.04;0.13;-0.38;0.36;-0.36;0.7;-0.58;0.24;g1327;-0.48;-0.09;0.16;-0.06;-0.07;0.26;0.01;-0.16
g1328;-0.46;-0.19;0.37;0.22;0.43;-0.15;-0.17;-0.52;g1328;-0.3;-0.08;-0.35;0.02;-0.09;-0.06;0.16;0.66;g1328;-0.41;0.01;0.12;0.01;-0.27;0.08;0.26;0.55
g1329;0.04;0.07;0.17;-0.19;0.24;-0.13;0.2;-0.1;g1329;-1.36;-0.15;0;0;0;0.5;0.44;0.29;g1329;-0.07;0.19;0.21;0.22;0.15;-0.44;-0.13;-0.07
g1330;-0.03;0.02;0.36;0.18;0.36;-0.1;-0.12;-0.21;g1330;-0.04;0.01;-0.28;-0.11;-0.18;0.37;0.1;0.66;g1330;0.03;-0.05;-0.27;-0.06;0.04;-0.42;-0.16;-0.03
g1331;-0.05;0.03;0.34;-0.08;0.38;0.09;0.12;-0.16;g1331;0.65;0;0;0;0;0;-0.13;0;g1331;-0.01;-0.01;0.04;0.18;-0.09;-0.81;0.14;-0.07
g1332;-0.34;-0.06;0.26;0;0.63;-0.12;-0.12;-0.32;g1332;-0.1;-0.01;-0.41;-0.39;1.69;-0.19;0.26;1.52;g1332;-0.17;0.3;0;0.14;-0.28;0.11;0.51;-0.01
g1333;-0.08;0.24;0.04;-0.41;0.48;0.03;-0.22;-0.24;g1333;0.19;0.01;-0.17;0.22;0.03;0.56;0;0.76;g1333;-0.27;0.02;0.15;0.34;-0.24;0.07;0.19;-0.1
g1334;-0.11;-0.01;0.2;0.27;0.2;-0.06;-0.13;-0.24;g1334;0;0;0;0;0.17;0;0;0;g1334;-0.07;0.11;-0.18;-0.14;0.2;-0.2;0;0.03
g1335;-0.35;0.06;0.27;-0.18;0.32;-0.06;0.15;-0.08;g1335;0;0;2.21;0;0;0;-2.86;0;g1335;-0.45;0.19;0.1;0.28;0.44;0.26;0.29;0.18
g1336;-0.07;-0.1;0.25;0.28;0.36;0.03;0.2;-0.16;g1336;0.06;-0.23;0.39;-0.11;0.17;1.04;0.45;0;g1336;-0.17;0.28;0.02;0.13;-0.11;0.15;0.13;0.37
g1337;-0.1;0.17;0.24;0.19;-0.23;-0.1;0.17;-0.05;g1337;0;0;0;0;0;0;-0.71;0;g1337;0.64;0.15;-0.04;0.12;0.16;-0.33;-0.39;0.16
g1338;-0.22;0.19;0.11;0.32;0.38;-0.2;-0.28;-0.18;g1338;0;0;0;0;0;0;-0.8;0;g1338;0.05;-0.21;-0.3;-0.15;0.07;-0.3;-0.31;0.09
g1339;-0.25;0.02;0.33;0.01;0.33;-0.1;0.05;-0.17;g1339;0;0;0;0;0;0;0;0;g1339;0.22;0;-0.08;0.12;0.37;-0.2;-0.49;-0.2
g1340;0.28;-0.71;-0.34;0.25;0.08;-0.04;0.41;-0.12;g1340;-0.14;0.23;0.71;0.48;0.27;-0.07;-0.31;-0.55;g1340;-0.3;0.32;0.35;0.55;0.05;0.6;0.45;0.26
g1341;0;-0.58;-0.4;-0.18;-0.09;-0.06;0.35;-0.4;g1341;0.26;0.63;0.77;0.68;0.25;-0.04;0.09;-2.07;g1341;-0.36;-0.24;0.39;0.45;0.31;0.65;0.31;-0.22
g1342;-0.09;-0.21;-0.07;0.26;-0.02;0.15;0.1;-0.14;g1342;-0.33;-0.41;0.14;0.11;0.12;0;-0.24;-0.16;g1342;0.07;-0.6;0.12;0.1;0.1;-0.08;-0.27;0.22
g1343;0;-0.37;-0.07;0.01;0.29;0.12;0.47;-0.04;g1343;0.75;0.3;0.77;0.4;0.17;-0.05;-0.08;-0.37;g1343;-0.45;-0.22;0.42;0.53;0.48;0.76;0.5;-0.01
g1344;-0.09;0.15;0.2;0.38;-0.1;-0.37;-0.19;-0.09;g1344;0.16;0.37;-0.15;-0.03;-0.84;-0.4;0;0.19;g1344;-0.01;0.62;0.32;0.7;0.21;0.22;-0.04;0.21
g1345;0;-0.23;0.04;-0.07;-0.07;-0.01;0.3;-0.19;g1345;-0.3;0.02;-0.09;0.59;-0.12;0.4;-0.26;0.31;g1345;-0.01;0.15;0.38;0.58;0.02;0.51;0.46;-0.01
g1346;0.07;-0.28;-0.34;0.23;0.02;0.23;-0.06;-0.11;g1346;0.12;-0.13;-0.01;0.39;0.07;0.2;-0.09;0.15;g1346;-0.13;0.59;0.42;0.37;0.33;0.16;0;0.07
g1347;0;0.16;0.11;0.02;-0.21;-0.3;0.14;-0.24;g1347;0.62;0.02;0.35;-0.06;-0.04;0.83;0.06;0.51;g1347;0.12;-0.2;0.19;0.44;-0.07;0.41;0.28;0.25
g1348;0;-0.42;0.09;0.39;-0.08;-0.06;-0.18;-0.2;g1348;0.3;0.09;-0.13;0.24;0.02;0.14;-0.29;0.04;g1348;-0.25;0.05;0.08;0.13;-0.04;0.08;0.23;0.2
g1349;0;0.05;-0.05;0.02;-0.42;-0.08;0.04;-0.1;g1349;0.25;0.33;-0.3;-0.1;-0.53;1.18;-0.53;0.15;g1349;-0.07;-0.43;0.3;0.33;-0.31;0.09;0.33;-0.27
g1350;0.24;-0.19;0;0.12;0;-0.02;0.04;-0.17;g1350;0.63;0.07;0;0.15;0.32;0.17;0.04;0.06;g1350;-0.05;0.31;0.27;0.31;0.12;0.25;0.15;0.29
g1351;0;-0.43;-0.14;-0.19;0.04;0.11;0.53;0.01;g1351;-0.14;-0.51;-0.16;0.09;0.14;1.14;0.2;0.75;g1351;-0.16;0.02;0.18;0.12;-0.19;0.43;0.4;0.08
g1352;0.28;-0.34;-0.13;-0.19;0.22;0;0.03;-0.1;g1352;0.22;-0.37;0.18;0.09;0.32;0.34;0.2;-0.13;g1352;-0.25;0.49;0.51;0.38;-0.06;0.5;0.13;0.08
g1353;0.68;-0.06;-0.01;-0.64;-0.1;-0.1;0.29;-0.04;g1353;0.34;-1.14;-0.14;-0.26;0.23;0.1;0.48;0.4;g1353;0.09;0.23;0.52;0.37;-0.04;0.25;-0.1;-0.14
g1354;0.38;-0.28;-0.26;0.1;-0.11;0.16;0;-0.03;g1354;0.51;-0.52;-1.34;0;-0.09;0.64;0;1.23;g1354;0.3;0.21;0.16;-0.22;-0.18;-0.07;-0.14;-0.18
g1355;0.02;0.04;-0.13;-0.24;-0.31;-0.07;0.23;-0.39;g1355;0;0.2;-0.5;0.14;-0.15;0.02;-0.07;-0.15;g1355;-0.04;0.01;0;-0.22;0.06;0.08;0.2;-0.02
g1356;-0.37;-0.21;-0.04;0.1;0;0.38;-0.14;-0.1;g1356;-0.17;-0.24;0;-0.02;-0.03;-0.05;-0.22;0.72;g1356;-0.53;0.05;0;-0.08;-0.43;0.4;0.46;0.5
g1357;0.09;-0.01;0.14;0.22;-0.54;-0.28;0.19;-0.08;g1357;0.01;0.47;-0.08;0.15;-0.3;-0.14;-0.6;-0.12;g1357;0.19;-0.02;0.25;0.25;-0.26;0.21;-0.34;-0.08
g1358;-0.09;0.01;0.09;0.55;-0.01;-0.09;0.12;-0.32;g1358;0.35;-0.04;0.55;-0.27;-0.18;-0.18;-0.31;-0.64;g1358;0.13;0.09;0.14;0.12;0.09;0.07;-0.17;0.46
g1359;0.29;0.21;0.34;0.18;0.15;-0.19;0.29;-0.29;g1359;0.01;0.25;-0.42;0.1;-0.19;-0.01;-0.5;0.01;g1359;1.28;-0.08;-0.17;0.09;-0.23;-0.25;-0.82;-0.08
g1360;0.08;-0.12;0.06;0.14;0.04;0.2;0.2;-0.01;g1360;0.17;-0.33;0.07;-0.45;-0.15;0.17;0.09;0.67;g1360;-0.15;0.35;0.1;0.27;-0.2;0.13;-0.62;0.27
g1361;0.09;0.14;0.09;0.02;-0.21;0.19;0.04;-0.24;g1361;0.25;-0.01;-0.08;-0.31;-0.08;-0.31;0.05;-0.14;g1361;0.1;-0.38;-0.23;-0.28;-0.06;0.24;-0.28;0.16
g1362;0.05;0.01;0.18;0.36;-0.03;-0.12;0.22;-0.56;g1362;-0.16;-0.1;0.11;-0.05;-0.16;0.05;-0.41;-0.01;g1362;0.35;0.11;0.03;0.06;0.01;-0.05;-0.27;0.09
g1363;-0.44;0.29;0.58;0.18;0.26;0.18;0.3;-0.14;g1363;-0.49;0.46;-0.88;0.27;-0.24;0.02;-0.65;0.1;g1363;0.52;-0.43;-0.34;0.09;-0.14;-0.1;-0.34;-0.01
g1364;0.06;0.49;-0.52;0.04;-0.05;-0.15;-0.22;-0.1;g1364;-0.42;0.3;-0.61;0.3;-0.74;-0.2;-0.85;0.04;g1364;0.14;-0.53;-0.3;-0.22;-0.17;-0.57;-0.32;0.17
g1365;-0.03;-0.19;0.18;0.52;0.08;-0.19;0.32;-0.3;g1365;0.69;0.39;0.35;0.07;-0.58;0.01;0.12;-0.2;g1365;0.12;0.41;0.27;0.17;0.2;-0.09;-0.11;0.21
g1366;0.44;-0.3;-0.05;-0.21;0.08;-0.32;0.12;-0.23;g1366;-0.58;-0.19;-0.26;0.27;-0.11;0.34;-0.15;0.19;g1366;-0.47;-0.4;0.15;-0.13;-0.49;0.48;0.61;0.39
g1367;0.27;-0.1;-0.05;-0.17;-0.51;-0.13;0.32;-0.53;g1367;0.06;0.2;0.08;-0.21;-0.19;0.34;-0.15;-0.03;g1367;0;-0.04;0.39;-0.1;-0.18;-0.33;-0.28;0.07
g1368;0.23;-0.03;0.42;-0.1;0.12;-0.08;0.23;-0.34;g1368;-0.91;0.28;-0.16;-0.26;-0.33;0.15;-0.76;0.24;g1368;0.5;-0.22;0.09;0.15;-0.07;0;-0.2;-0.3
g1369;0.04;-0.4;0.04;-0.16;0.1;-0.16;0.07;-0.11;g1369;-0.11;0.32;-0.05;0.3;-0.21;-0.57;-0.07;0.2;g1369;-0.05;0.24;0.45;0.07;-0.13;-0.07;-0.3;-0.07
g1370;0.25;-0.15;0.24;-0.2;0.04;-0.22;0.06;-0.1;g1370;-0.76;0.06;-0.17;0.12;-0.56;0.06;-0.4;0.1;g1370;0.09;-0.23;0.32;-0.02;-0.13;0.25;-0.05;-0.15
g1371;-0.23;-0.05;0.12;-0.2;-0.47;-0.33;-0.05;-0.39;g1371;0.36;0.08;-0.19;-0.13;-0.35;0.08;-0.09;0.3;g1371;0.06;0.26;0.11;0.28;-0.28;0.19;0.19;0
g1372;-0.04;-0.02;-0.15;0.27;-0.32;-0.28;0.01;-0.56;g1372;0.26;-0.29;0.4;-0.22;-0.03;-0.03;0.18;0;g1372;0.3;-0.15;0.06;-0.23;-0.4;0.06;-0.05;0.3
g1373;0.04;-0.26;-0.02;-0.26;0.16;-0.02;0.06;-0.19;g1373;-0.46;0.25;-0.26;0.53;-0.09;0.42;-0.11;0.36;g1373;-0.22;0.62;0.53;0.5;-0.24;0.29;0.42;0.24
g1374;0.11;-0.06;0.04;-0.21;0.13;0;0.24;-0.25;g1374;-0.7;0.24;-0.02;0.25;-0.25;0.33;-0.21;0.17;g1374;0.16;0.07;0.35;-0.01;-0.24;0.44;-0.15;0.11
g1375;0.03;-0.39;0;-0.51;-0.03;-0.31;0.33;-0.12;g1375;0.22;0.15;0.21;0.2;0.21;0.19;0.19;0.04;g1375;-0.29;0.16;0.09;0.25;-0.16;0.24;0.38;-0.07
g1376;-0.3;0.07;0.09;0.14;0.15;-0.36;0.07;-0.32;g1376;0.16;-0.08;0.2;-0.06;-0.14;0.29;-0.31;0.02;g1376;-0.13;-0.18;-0.04;0.07;0.3;-0.28;-0.14;0.16
g1377;-0.34;-0.04;0.25;0.12;0.51;0.19;0.11;-0.42;g1377;0.03;-0.06;0.08;0.05;0.08;-0.06;-0.01;0.03;g1377;-0.18;-0.21;-0.11;0.18;-0.13;0.18;0.21;0.08
g1378;-0.12;0.16;0.2;0.33;0.33;0.1;0.03;-0.17;g1378;-0.55;0.76;1.09;0.6;0.07;0.09;0.1;0.19;g1378;-0.32;0.07;0.18;0.28;0.06;-0.04;0.26;-0.06
g1379;-0.53;0.14;0.35;-0.15;0.49;0.26;0.37;0.11;g1379;0.26;-0.13;-0.49;0.06;0.23;0.27;0.12;0.35;g1379;-0.29;-0.13;-0.09;-0.1;0.04;0.08;0.15;0.01
g1380;-0.36;-0.02;0.07;0.25;0.05;-0.3;-0.03;-0.08;g1380;0.76;-0.06;1.03;-0.09;-0.02;-0.04;0.58;-0.36;g1380;0.16;0.42;0.01;0.12;0.21;-0.32;-0.34;-0.23
